category,jul,aug,sep,oct,nov,dec,jan,feb,mar,apr,may,jun
real_estate_tax,9.1,7.4,5.4,7.2,4.9,13.3,31.8,210.4,74.3,26.8,2.5,1.5
wage_earnings_net_profits,95.9,105.8,89.9,96.1,103.6,92.0,116.1,102.3,102.7,103.5,114.5,93.4
realty_transfer_tax,21.6,20.6,15.8,18.2,12.4,14.4,16.6,10.2,10.1,18.0,14.3,12.8
sales_tax,12.0,10.7,11.3,9.3,13.2,11.0,11.3,13.1,10.7,10.4,11.7,11.2
birt,7.4,3.3,14.2,-1.0,-4.1,1.6,14.3,4.2,26.3,199.0,149.2,23.8
other_taxes,5.2,7.5,6.0,6.4,5.9,4.9,4.8,4.4,4.9,9.5,5.6,6.1
locally_generated_non_tax,18.0,22.5,19.1,16.9,23.6,41.5,23.9,17.6,19.0,19.0,20.6,28.0
total_other_govts,4.1,137.1,6.4,180.9,9.2,13.2,13.6,158.1,97.3,46.4,35.7,11.7
total_pica_other_govts,18.8,33.1,14.7,26.2,15.7,17.9,30.1,0.0,38.2,28.9,22.6,11.5
interfund_transfers,0.0,0.0,0.9,0.4,0.5,0.5,0.4,0.5,0.5,0.5,0.5,23.8
total_current_revenue,192.1,348.0,183.7,360.6,184.9,210.3,262.9,520.8,384.0,462.0,377.1,223.8
prior_year_revenue,49.3,31.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adjustments,7.9,0.0,0.0,0.0,0.0,0.0,0.0,-2.6,0.0,2.6,0.0,-7.0
total_cash_receipts,249.3,379.0,193.7,360.6,184.9,210.3,262.9,518.2,384.0,464.6,377.1,216.8
