category,jul,aug,sep,oct,nov,dec,jan,feb,mar,apr,may,jun
real_estate_tax,7.3,7.3,5.9,5.5,5.3,14.8,39.4,298.6,81.0,20.0,8.2,8.7
wage_earnings_net_profits,89.4,111.3,85.2,102.3,97.6,90.1,112.4,93.7,96.1,117.2,101.4,94.3
realty_transfer_tax,10.2,13.9,11.9,9.3,7.5,8.7,9.4,8.4,9.0,9.4,10.8,10.5
sales_tax,19.4,22.0,20.3,19.4,21.5,20.5,20.3,23.9,19.3,20.1,22.7,21.0
birt,3.6,3.6,9.7,9.5,-0.9,-0.0,12.8,10.7,34.1,145.5,161.2,5.9
other_taxes,8.2,9.7,6.6,6.7,7.3,7.1,6.5,13.0,2.3,14.1,8.3,7.6
locally_generated_non_tax,19.4,22.8,16.9,17.5,25.7,22.4,19.6,23.3,27.5,14.5,25.5,23.2
total_other_govts,3.7,53.2,98.3,69.1,4.6,17.4,19.6,54.4,17.6,12.5,23.1,17.1
total_pica_other_govts,26.0,13.9,22.6,21.6,23.1,25.4,22.2,17.7,39.0,25.2,26.4,27.5
interfund_transfers,8.4,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.9
total_current_revenue,195.6,257.6,277.5,260.8,191.7,206.4,262.2,543.8,325.9,378.5,397.6,218.5
prior_year_revenue,18.7,129.5,1.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adjustments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total_cash_receipts,214.3,387.1,278.6,271.3,191.7,206.4,262.2,543.8,325.9,378.5,397.6,218.5
