category,jul,aug,sep,oct,nov,dec,jan,feb,mar,apr,may,jun
real_estate_tax,8.2,7.4,7.1,6.9,6.1,13.0,39.2,293.4,110.6,26.9,13.7,7.7
wage_earnings_net_profits,111.4,90.4,94.8,115.9,96.7,97.6,134.8,98.4,106.6,140.0,98.5,97.5
realty_transfer_tax,15.2,13.0,12.7,12.2,11.7,12.1,12.8,9.8,17.5,14.8,15.6,20.5
sales_tax,21.6,23.6,21.4,21.2,22.7,21.0,20.5,26.7,19.6,19.2,24.1,22.1
birt,5.3,5.4,18.8,17.1,-3.3,7.1,9.8,4.4,51.0,236.8,102.0,10.9
other_taxes,7.8,10.7,7.3,7.6,8.2,7.4,7.5,7.9,7.1,11.5,8.2,7.7
locally_generated_non_tax,27.4,23.3,19.9,19.9,23.0,17.1,23.7,27.4,23.3,24.4,22.5,48.1
total_other_govts,2.9,54.0,70.2,61.8,56.9,3.9,15.8,9.5,9.7,10.1,15.6,21.0
total_pica_other_govts,20.2,28.0,24.4,18.7,34.9,20.2,28.6,28.2,30.9,24.6,41.1,18.3
interfund_transfers,0.0,8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,5.6
total_current_revenue,220.0,264.3,276.5,281.3,256.9,199.4,292.7,505.6,376.3,508.2,354.4,259.5
prior_year_revenue,5.0,15.1,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adjustments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total_cash_receipts,224.9,279.4,276.5,297.4,256.9,199.4,292.7,505.6,376.3,508.2,354.4,259.5
